
 Node          U1          U2          U3
    1   3.662e-08   8.497e-07   1.960e-05
    2   3.451e-08  -6.370e-07   1.214e-05
    3  -4.611e-08  -1.713e-06   3.445e-05
    4  -1.028e-08   1.916e-06   4.176e-05
    5  -8.541e-17   7.251e-16  -2.560e-17
    6  -7.949e-17  -1.389e-15  -5.199e-19
    7   1.637e-16  -2.734e-15  -1.972e-17
    8   1.888e-16   1.992e-15  -4.588e-17
    9   5.815e-08   7.288e-08   2.259e-05
   10   7.154e-08  -7.148e-08   2.244e-05
   11   7.668e-08  -1.809e-07   2.108e-05
   12   7.230e-08  -2.551e-07   1.886e-05
   13   5.783e-08  -3.043e-07   1.608e-05
   14   3.514e-07  -5.710e-07   9.297e-06
   15   2.773e-07  -4.472e-07   6.074e-06
   16   1.856e-07  -3.078e-07   3.738e-06
   17   9.357e-08  -1.996e-07   2.344e-06
   18   1.304e-09  -1.544e-07   1.874e-06
   19  -9.754e-08  -1.921e-07   2.357e-06
   20  -2.076e-07  -3.259e-07   3.886e-06
   21  -3.448e-07  -5.611e-07   6.632e-06
   22  -5.331e-07  -8.900e-07   1.101e-05
   23  -7.665e-07  -1.263e-06   1.756e-05
   24  -9.829e-07  -1.576e-06   2.656e-05
   25  -5.681e-08  -6.275e-07   4.384e-05
   26  -6.221e-08  -4.140e-07   4.893e-05
   27  -6.147e-08  -1.749e-07   5.188e-05
   28  -5.702e-08   9.889e-08   5.240e-05
   29  -4.017e-08   3.990e-07   5.015e-05
   30  -1.267e-06   1.756e-06   3.165e-05
   31  -9.728e-07   1.383e-06   2.012e-05
   32  -6.527e-07   9.441e-07   1.191e-05
   33  -4.007e-07   5.681e-07   6.678e-06
   34  -2.281e-07   3.107e-07   3.568e-06
   35  -9.873e-08   1.710e-07   1.935e-06
   36   1.923e-08   1.386e-07   1.530e-06
   37   1.467e-07   2.056e-07   2.338e-06
   38   3.024e-07   3.614e-07   4.565e-06
   39   4.827e-07   5.696e-07   8.525e-06
